Date_Key,Full_Date,Year,Quarter,Quarter_Name,Month,Month_Name,Month_Short,Week_Number,Day_Of_Month,Day_Of_Week,Day_Name,Day_Short,Is_Weekend,Is_Holiday,Holiday_Name,Fiscal_Year,Fiscal_Quarter,Fiscal_Month
20240101,2024-01-01,2024,1,Q1 2024,1,January,Jan,1,1,2,Monday,Mon,0,1,New Year's Day,2024,1,1
20240102,2024-01-02,2024,1,Q1 2024,1,January,Jan,1,2,3,Tuesday,Tue,0,0,,2024,1,1
20240103,2024-01-03,2024,1,Q1 2024,1,January,Jan,1,3,4,Wednesday,Wed,0,0,,2024,1,1
20240104,2024-01-04,2024,1,Q1 2024,1,January,Jan,1,4,5,Thursday,Thu,0,0,,2024,1,1
20240105,2024-01-05,2024,1,Q1 2024,1,January,Jan,1,5,6,Friday,Fri,0,0,,2024,1,1
20240106,2024-01-06,2024,1,Q1 2024,1,January,Jan,1,6,7,Saturday,Sat,1,0,,2024,1,1
20240107,2024-01-07,2024,1,Q1 2024,1,January,Jan,1,7,1,Sunday,Sun,1,0,,2024,1,1
20240108,2024-01-08,2024,1,Q1 2024,1,January,Jan,2,8,2,Monday,Mon,0,0,,2024,1,1
20240109,2024-01-09,2024,1,Q1 2024,1,January,Jan,2,9,3,Tuesday,Tue,0,0,,2024,1,1
20240110,2024-01-10,2024,1,Q1 2024,1,January,Jan,2,10,4,Wednesday,Wed,0,0,,2024,1,1
20240111,2024-01-11,2024,1,Q1 2024,1,January,Jan,2,11,5,Thursday,Thu,0,0,,2024,1,1
20240112,2024-01-12,2024,1,Q1 2024,1,January,Jan,2,12,6,Friday,Fri,0,0,,2024,1,1
20240113,2024-01-13,2024,1,Q1 2024,1,January,Jan,2,13,7,Saturday,Sat,1,0,,2024,1,1
20240114,2024-01-14,2024,1,Q1 2024,1,January,Jan,2,14,1,Sunday,Sun,1,0,,2024,1,1
20240115,2024-01-15,2024,1,Q1 2024,1,January,Jan,3,15,2,Monday,Mon,0,1,Martin Luther King Jr. Day,2024,1,1
20240116,2024-01-16,2024,1,Q1 2024,1,January,Jan,3,16,3,Tuesday,Tue,0,0,,2024,1,1
20240117,2024-01-17,2024,1,Q1 2024,1,January,Jan,3,17,4,Wednesday,Wed,0,0,,2024,1,1
20240118,2024-01-18,2024,1,Q1 2024,1,January,Jan,3,18,5,Thursday,Thu,0,0,,2024,1,1
20240119,2024-01-19,2024,1,Q1 2024,1,January,Jan,3,19,6,Friday,Fri,0,0,,2024,1,1
20240120,2024-01-20,2024,1,Q1 2024,1,January,Jan,3,20,7,Saturday,Sat,1,0,,2024,1,1
20240121,2024-01-21,2024,1,Q1 2024,1,January,Jan,3,21,1,Sunday,Sun,1,0,,2024,1,1
20240122,2024-01-22,2024,1,Q1 2024,1,January,Jan,4,22,2,Monday,Mon,0,0,,2024,1,1
20240123,2024-01-23,2024,1,Q1 2024,1,January,Jan,4,23,3,Tuesday,Tue,0,0,,2024,1,1
20240124,2024-01-24,2024,1,Q1 2024,1,January,Jan,4,24,4,Wednesday,Wed,0,0,,2024,1,1
20240125,2024-01-25,2024,1,Q1 2024,1,January,Jan,4,25,5,Thursday,Thu,0,0,,2024,1,1
20240126,2024-01-26,2024,1,Q1 2024,1,January,Jan,4,26,6,Friday,Fri,0,0,,2024,1,1
20240127,2024-01-27,2024,1,Q1 2024,1,January,Jan,4,27,7,Saturday,Sat,1,0,,2024,1,1
20240128,2024-01-28,2024,1,Q1 2024,1,January,Jan,4,28,1,Sunday,Sun,1,0,,2024,1,1
20240129,2024-01-29,2024,1,Q1 2024,1,January,Jan,5,29,2,Monday,Mon,0,0,,2024,1,1
20240130,2024-01-30,2024,1,Q1 2024,1,January,Jan,5,30,3,Tuesday,Tue,0,0,,2024,1,1
20240131,2024-01-31,2024,1,Q1 2024,1,January,Jan,5,31,4,Wednesday,Wed,0,0,,2024,1,1
20240201,2024-02-01,2024,1,Q1 2024,2,February,Feb,5,1,5,Thursday,Thu,0,0,,2024,1,2
20240202,2024-02-02,2024,1,Q1 2024,2,February,Feb,5,2,6,Friday,Fri,0,0,,2024,1,2
20240203,2024-02-03,2024,1,Q1 2024,2,February,Feb,5,3,7,Saturday,Sat,1,0,,2024,1,2
20240204,2024-02-04,2024,1,Q1 2024,2,February,Feb,5,4,1,Sunday,Sun,1,0,,2024,1,2
20240205,2024-02-05,2024,1,Q1 2024,2,February,Feb,6,5,2,Monday,Mon,0,0,,2024,1,2
20240206,2024-02-06,2024,1,Q1 2024,2,February,Feb,6,6,3,Tuesday,Tue,0,0,,2024,1,2
20240207,2024-02-07,2024,1,Q1 2024,2,February,Feb,6,7,4,Wednesday,Wed,0,0,,2024,1,2
20240208,2024-02-08,2024,1,Q1 2024,2,February,Feb,6,8,5,Thursday,Thu,0,0,,2024,1,2
20240209,2024-02-09,2024,1,Q1 2024,2,February,Feb,6,9,6,Friday,Fri,0,0,,2024,1,2
20240210,2024-02-10,2024,1,Q1 2024,2,February,Feb,6,10,7,Saturday,Sat,1,0,,2024,1,2
20240211,2024-02-11,2024,1,Q1 2024,2,February,Feb,6,11,1,Sunday,Sun,1,0,,2024,1,2
20240212,2024-02-12,2024,1,Q1 2024,2,February,Feb,7,12,2,Monday,Mon,0,0,,2024,1,2
20240213,2024-02-13,2024,1,Q1 2024,2,February,Feb,7,13,3,Tuesday,Tue,0,0,,2024,1,2
20240214,2024-02-14,2024,1,Q1 2024,2,February,Feb,7,14,4,Wednesday,Wed,0,1,Valentine's Day,2024,1,2
20240215,2024-02-15,2024,1,Q1 2024,2,February,Feb,7,15,5,Thursday,Thu,0,0,,2024,1,2
20240216,2024-02-16,2024,1,Q1 2024,2,February,Feb,7,16,6,Friday,Fri,0,0,,2024,1,2
20240217,2024-02-17,2024,1,Q1 2024,2,February,Feb,7,17,7,Saturday,Sat,1,0,,2024,1,2
20240218,2024-02-18,2024,1,Q1 2024,2,February,Feb,7,18,1,Sunday,Sun,1,0,,2024,1,2
20240219,2024-02-19,2024,1,Q1 2024,2,February,Feb,8,19,2,Monday,Mon,0,1,Presidents Day,2024,1,2
20240220,2024-02-20,2024,1,Q1 2024,2,February,Feb,8,20,3,Tuesday,Tue,0,0,,2024,1,2
20240221,2024-02-21,2024,1,Q1 2024,2,February,Feb,8,21,4,Wednesday,Wed,0,0,,2024,1,2
20240222,2024-02-22,2024,1,Q1 2024,2,February,Feb,8,22,5,Thursday,Thu,0,0,,2024,1,2
20240223,2024-02-23,2024,1,Q1 2024,2,February,Feb,8,23,6,Friday,Fri,0,0,,2024,1,2
20240224,2024-02-24,2024,1,Q1 2024,2,February,Feb,8,24,7,Saturday,Sat,1,0,,2024,1,2
